# GPS Waypoints Configuration
# Format: longitude latitude spline_type [radius]
-83.231343 42.318858 linear
-83.231316 42.318874 linear
-83.231286 42.31889 linear
-83.231258 42.318905 linear
-83.231232 42.318915 linear
-83.231203 42.318927 linear
-83.23117 42.31894 linear
-83.231136 42.318955 linear
-83.231104 42.318971 linear
-83.23107 42.318985 linear
-83.231038 42.319001 linear
-83.231005 42.319013 linear
-83.230991 42.31902 linear
-83.230959 42.319033 linear
-83.230925 42.319047 linear
-83.23089 42.31906 linear
-83.230855 42.319074 linear
-83.230818 42.319087 linear
-83.230781 42.319103 linear
-83.230745 42.31912 linear
-83.230707 42.319136 linear
-83.230666 42.319145 linear
-83.230628 42.319132 linear
-83.230602 42.319108 linear
-83.230578 42.319082 linear
-83.23056 42.319045 linear
-83.230572 42.319017 linear
-83.230605 42.318997 linear
-83.230641 42.318982 linear
-83.230679 42.318965 linear
-83.230717 42.318947 linear
-83.230753 42.318929 linear
-83.230792 42.318915 linear
-83.23083 42.318899 linear
-83.230869 42.318884 linear
-83.230906 42.318867 linear
-83.230945 42.318852 linear
-83.230994 42.318827 linear
-83.231031 42.318812 linear
-83.231066 42.318795 linear
-83.231099 42.318778 linear
-83.231129 42.318764 linear
-83.231141 42.31874 linear
-83.231127 42.318711 linear
-83.231105 42.318683 linear
-83.231081 42.318657 linear
-83.231046 42.318644 linear
-83.231007 42.318649 linear
-83.230968 42.318661 linear
-83.23092 42.318678 linear
-83.230883 42.318693 linear
-83.230846 42.318708 linear
-83.230813 42.318723 linear
-83.230779 42.318737 linear
-83.230747 42.318747 linear
-83.230708 42.318761 linear
-83.230671 42.318776 linear
-83.230634 42.318792 linear
-83.230595 42.318809 linear
-83.230557 42.318824 linear
-83.230516 42.318839 linear
-83.230457 42.318854 linear
-83.230417 42.318839 linear
-83.230393 42.318813 linear
-83.230369 42.318784 linear
-83.230358 42.318754 linear
-83.230375 42.318724 linear
-83.230409 42.318701 linear
-83.230447 42.318681 linear
-83.230484 42.318664 linear
-83.230524 42.318649 linear
-83.230564 42.318635 linear
-83.230605 42.31862 linear
-83.230656 42.3186 linear
-83.230694 42.318585 linear
-83.230734 42.318569 linear
-83.230773 42.318557 linear
-83.230816 42.318547 linear
-83.230859 42.318542 linear
-83.230903 42.318542 linear
-83.230944 42.318549 linear
-83.23098 42.318564 linear
-83.231012 42.318583 linear
-83.231043 42.318604 linear
-83.231071 42.318627 linear
-83.231105 42.318657 linear
-83.231132 42.31868 linear
-83.231156 42.318698 linear
-83.231181 42.318719 linear
-83.231208 42.318741 linear
-83.231236 42.318761 linear
-83.231263 42.318783 linear
-83.231289 42.318804 linear
-83.231317 42.318824 linear
-83.231344 42.318841 linear
